,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
0,60,RL,65.0,8450,1,NA,4,Lvl,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4,3,1,6,706.0,1,0.0,150.0,856.0,GasA,5,1,SBrkr,856,854,0,1710,1.0,0.0,2,1,3,1,4,8,7,0,0,Attchd,2003.0,2,2.0,548.0,3,3,3,0,61,0,0,0,0,0,1,NA,0,2,2008,WD,Normal
1,20,RL,80.0,9600,1,NA,4,Lvl,FR2,3,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,4,5,978.0,1,0.0,284.0,1262.0,GasA,5,1,SBrkr,1262,0,0,1262,0.0,1.0,2,0,3,1,3,6,7,1,3,Attchd,1976.0,2,2.0,460.0,3,3,3,298,0,0,0,0,0,0,1,NA,0,5,2007,WD,Normal
2,60,RL,68.0,11250,1,NA,3,Lvl,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4,3,2,6,486.0,1,0.0,434.0,920.0,GasA,5,1,SBrkr,920,866,0,1786,1.0,0.0,2,1,3,1,4,6,7,1,3,Attchd,2001.0,2,2.0,608.0,3,3,3,0,42,0,0,0,0,0,1,NA,0,9,2008,WD,Normal
3,70,RL,60.0,9550,1,NA,3,Lvl,Corner,3,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3,4,1,5,216.0,1,0.0,540.0,756.0,GasA,4,1,SBrkr,961,756,0,1717,1.0,0.0,1,0,3,1,4,7,7,1,4,Detchd,1998.0,1,3.0,642.0,3,3,3,0,35,272,0,0,0,0,1,NA,0,2,2006,WD,Abnorml
4,60,RL,84.0,14260,1,NA,3,Lvl,FR2,3,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4,3,3,6,655.0,1,0.0,490.0,1145.0,GasA,5,1,SBrkr,1145,1053,0,2198,1.0,0.0,2,1,4,1,4,9,7,1,3,Attchd,2000.0,2,3.0,836.0,3,3,3,192,84,0,0,0,0,0,1,NA,0,12,2008,WD,Normal
5,50,RL,85.0,14115,1,NA,3,Lvl,Inside,3,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,4,3,1,6,732.0,1,0.0,64.0,796.0,GasA,5,1,SBrkr,796,566,0,1362,1.0,0.0,1,1,1,1,3,5,7,0,0,Attchd,1993.0,1,2.0,480.0,3,3,3,40,30,0,320,0,0,0,4,Shed,700,10,2009,WD,Normal
6,20,RL,75.0,10084,1,NA,4,Lvl,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5,3,3,6,1369.0,1,0.0,317.0,1686.0,GasA,5,1,SBrkr,1694,0,0,1694,1.0,0.0,2,0,3,1,4,7,7,1,4,Attchd,2004.0,2,2.0,636.0,3,3,3,255,57,0,0,0,0,0,1,NA,0,8,2007,WD,Normal
7,60,RL,69.15971935617004,10382,1,NA,3,Lvl,Corner,3,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,2,5,859.0,4,32.0,216.0,1107.0,GasA,5,1,SBrkr,1107,983,0,2090,1.0,0.0,2,1,3,1,3,7,7,2,3,Attchd,1973.0,2,2.0,484.0,3,3,3,235,204,228,0,0,0,0,1,Shed,350,11,2009,WD,Normal
8,50,RM,51.0,6120,1,NA,4,Lvl,Inside,3,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,952.0,952.0,GasA,4,1,FuseF,1022,752,0,1774,0.0,0.0,2,0,2,2,3,8,6,2,3,Detchd,1931.0,1,2.0,468.0,2,3,3,90,0,205,0,0,0,0,1,NA,0,4,2008,WD,Abnorml
9,190,RL,50.0,7420,1,NA,4,Lvl,Corner,3,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,6,851.0,1,0.0,140.0,991.0,GasA,5,1,SBrkr,1077,0,0,1077,1.0,0.0,1,0,2,2,3,5,7,2,3,Attchd,1939.0,2,1.0,205.0,4,3,3,0,4,0,0,0,0,0,1,NA,0,1,2008,WD,Normal
10,20,RL,70.0,11200,1,NA,4,Lvl,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906.0,1,0.0,134.0,1040.0,GasA,5,1,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,7,0,0,Detchd,1965.0,1,1.0,384.0,3,3,3,0,0,0,0,0,0,0,1,NA,0,2,2008,WD,Normal
11,60,RL,85.0,11924,1,NA,3,Lvl,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,1,6,998.0,1,0.0,177.0,1175.0,GasA,5,1,SBrkr,1182,1142,0,2324,1.0,0.0,3,0,4,1,5,11,7,2,4,BuiltIn,2005.0,3,3.0,736.0,3,3,3,147,21,0,0,0,0,0,1,NA,0,7,2006,New,Partial
12,20,RL,69.15971935617004,12968,1,NA,2,Lvl,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,1,5,737.0,1,0.0,175.0,912.0,GasA,3,1,SBrkr,912,0,0,912,1.0,0.0,1,0,2,1,3,4,7,0,0,Detchd,1962.0,1,1.0,352.0,3,3,3,140,0,0,0,176,0,0,1,NA,0,9,2008,WD,Normal
13,20,RL,91.0,10652,1,NA,3,Lvl,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,3,1,0.0,1,0.0,1494.0,1494.0,GasA,5,1,SBrkr,1494,0,0,1494,0.0,0.0,2,0,3,1,4,7,7,1,4,Attchd,2006.0,2,3.0,840.0,3,3,3,160,33,0,0,0,0,0,1,NA,0,8,2007,New,Partial
14,20,RL,69.15971935617004,10920,1,NA,3,Lvl,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,1,4,733.0,1,0.0,520.0,1253.0,GasA,3,1,SBrkr,1253,0,0,1253,1.0,0.0,1,1,2,1,3,5,7,1,2,Attchd,1960.0,2,1.0,352.0,3,3,3,0,213,176,0,0,0,0,3,NA,0,5,2008,WD,Normal
15,45,RM,51.0,6120,1,NA,4,Lvl,Corner,3,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,832.0,832.0,GasA,5,1,FuseA,854,0,0,854,0.0,0.0,1,0,2,1,3,5,7,0,0,Detchd,1991.0,1,2.0,576.0,3,3,3,48,112,0,0,0,0,0,5,NA,0,7,2007,WD,Normal
16,20,RL,69.15971935617004,11241,1,NA,3,Lvl,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,5,578.0,1,0.0,426.0,1004.0,GasA,5,1,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,3,5,7,1,3,Attchd,1970.0,3,2.0,480.0,3,3,3,0,0,0,0,0,0,0,1,Shed,700,3,2010,WD,Normal
17,90,RL,72.0,10791,1,NA,4,Lvl,Inside,3,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,1,SBrkr,1296,0,0,1296,0.0,0.0,2,0,2,2,3,6,7,0,0,CarPort,1967.0,1,2.0,516.0,3,3,3,0,0,0,0,0,0,0,1,Shed,500,10,2006,WD,Normal
18,20,RL,66.0,13695,1,NA,4,Lvl,Inside,3,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,6,646.0,1,0.0,468.0,1114.0,GasA,5,1,SBrkr,1114,0,0,1114,1.0,0.0,1,1,3,1,4,6,7,0,0,Detchd,2004.0,1,2.0,576.0,3,3,3,0,102,0,0,0,0,0,1,NA,0,6,2008,WD,Normal
19,20,RL,70.0,7560,1,NA,4,Lvl,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3,3,1,2,504.0,1,0.0,525.0,1029.0,GasA,3,1,SBrkr,1339,0,0,1339,0.0,0.0,1,0,3,1,3,6,6,0,0,Attchd,1958.0,1,1.0,294.0,3,3,3,0,0,0,0,0,0,0,4,NA,0,5,2009,COD,Abnorml
20,60,RL,101.0,14215,1,NA,3,Lvl,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1158.0,1158.0,GasA,5,1,SBrkr,1158,1218,0,2376,0.0,0.0,3,1,4,1,4,9,7,1,4,BuiltIn,2005.0,2,3.0,853.0,3,3,3,240,154,0,0,0,0,0,1,NA,0,11,2006,New,Partial
21,45,RM,57.0,7449,1,Grvl,4,Bnk,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,1,0.0,1,0.0,637.0,637.0,GasA,5,1,FuseF,1108,0,0,1108,0.0,0.0,1,0,3,1,4,6,7,1,4,Attchd,1930.0,1,1.0,280.0,3,3,1,0,0,205,0,0,0,0,5,NA,0,6,2007,WD,Normal
22,20,RL,75.0,9742,1,NA,4,Lvl,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1777.0,1777.0,GasA,5,1,SBrkr,1795,0,0,1795,0.0,0.0,2,0,3,1,4,7,7,1,4,Attchd,2002.0,2,2.0,534.0,3,3,3,171,159,0,0,0,0,0,1,NA,0,9,2008,WD,Normal
23,120,RM,44.0,4224,1,NA,4,Lvl,Inside,3,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,1,6,840.0,1,0.0,200.0,1040.0,GasA,3,1,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,3,6,7,1,3,Attchd,1976.0,1,2.0,572.0,3,3,3,100,110,0,0,0,0,0,1,NA,0,6,2007,WD,Normal
24,20,RL,69.15971935617004,8246,1,NA,3,Lvl,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,2,3,188.0,5,668.0,204.0,1060.0,GasA,5,1,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,4,6,7,1,3,Attchd,1968.0,1,1.0,270.0,3,3,3,406,90,0,0,0,0,0,4,NA,0,5,2010,WD,Normal
25,20,RL,110.0,14230,1,NA,4,Lvl,Corner,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1566.0,1566.0,GasA,5,1,SBrkr,1600,0,0,1600,0.0,0.0,2,0,3,1,4,7,7,1,4,Attchd,2007.0,2,3.0,890.0,3,3,3,0,56,0,0,0,0,0,1,NA,0,7,2009,WD,Normal
26,20,RL,60.0,7200,1,NA,4,Lvl,Corner,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,4,234.0,3,486.0,180.0,900.0,GasA,3,1,SBrkr,900,0,0,900,0.0,1.0,1,0,3,1,4,5,7,0,0,Detchd,2005.0,1,2.0,576.0,3,3,3,222,32,0,0,0,0,0,1,NA,0,5,2010,WD,Normal
27,20,RL,98.0,11478,1,NA,4,Lvl,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,1,6,1218.0,1,0.0,486.0,1704.0,GasA,5,1,SBrkr,1704,0,0,1704,1.0,0.0,2,0,3,1,4,7,7,1,4,Attchd,2008.0,2,3.0,772.0,3,3,3,0,50,0,0,0,0,0,1,NA,0,5,2010,WD,Normal
28,20,RL,47.0,16321,1,NA,3,Lvl,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,4,4,1277.0,1,0.0,207.0,1484.0,GasA,3,1,SBrkr,1600,0,0,1600,1.0,0.0,1,0,2,1,3,6,7,2,4,Attchd,1957.0,2,1.0,319.0,3,3,3,288,258,0,0,0,0,0,1,NA,0,12,2006,WD,Normal
29,30,RM,60.0,6324,1,NA,3,Lvl,Inside,3,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,520.0,520.0,GasA,2,0,SBrkr,520,0,0,520,0.0,0.0,1,0,1,1,2,4,7,0,0,Detchd,1920.0,1,1.0,240.0,2,3,3,49,0,87,0,0,0,0,1,NA,0,5,2008,WD,Normal
30,70,C (all),50.0,8500,1,Pave,4,Lvl,Inside,3,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3,3,1,1,0.0,1,0.0,649.0,649.0,GasA,3,0,SBrkr,649,668,0,1317,0.0,0.0,1,0,3,1,3,6,7,0,0,Detchd,1920.0,1,1.0,250.0,3,2,1,0,54,172,0,0,0,0,4,NA,0,7,2008,WD,Normal
31,20,RL,69.15971935617004,8544,1,NA,3,Lvl,CulDSac,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,1228.0,1228.0,GasA,4,1,SBrkr,1228,0,0,1228,0.0,0.0,1,1,3,1,4,6,7,0,0,Attchd,1966.0,1,1.0,271.0,3,3,3,0,65,0,0,0,0,0,4,NA,0,6,2008,WD,Normal
32,20,RL,85.0,11049,1,NA,4,Lvl,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1234.0,1234.0,GasA,5,1,SBrkr,1234,0,0,1234,0.0,0.0,2,0,3,1,4,7,7,0,0,Attchd,2007.0,2,2.0,484.0,3,3,3,0,30,0,0,0,0,0,1,NA,0,1,2008,WD,Normal
33,20,RL,70.0,10552,1,NA,3,Lvl,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,1,3,1018.0,1,0.0,380.0,1398.0,GasA,4,1,SBrkr,1700,0,0,1700,0.0,1.0,1,1,4,1,4,6,7,1,4,Attchd,1959.0,2,2.0,447.0,3,3,3,0,38,0,0,0,0,0,1,NA,0,4,2010,WD,Normal
34,120,RL,60.0,7313,1,NA,4,Lvl,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,1,6,1153.0,1,0.0,408.0,1561.0,GasA,5,1,SBrkr,1561,0,0,1561,1.0,0.0,2,0,2,1,5,6,7,1,4,Attchd,2005.0,3,2.0,556.0,3,3,3,203,47,0,0,0,0,0,1,NA,0,8,2007,WD,Normal
35,60,RL,108.0,13418,1,NA,4,Lvl,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1117.0,1117.0,GasA,5,1,SBrkr,1132,1320,0,2452,0.0,0.0,3,1,4,1,4,9,7,1,4,BuiltIn,2004.0,3,3.0,691.0,3,3,3,113,32,0,0,0,0,0,1,NA,0,9,2006,WD,Normal
36,20,RL,112.0,10859,1,NA,4,Lvl,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,1097.0,1097.0,GasA,5,1,SBrkr,1097,0,0,1097,0.0,0.0,1,1,3,1,3,6,7,0,0,Attchd,1995.0,1,2.0,672.0,3,3,3,392,64,0,0,0,0,0,1,NA,0,6,2009,WD,Normal
37,20,RL,74.0,8532,1,NA,4,Lvl,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,1,3,1213.0,1,0.0,84.0,1297.0,GasA,4,1,SBrkr,1297,0,0,1297,0.0,1.0,1,0,3,1,3,5,7,1,3,Attchd,1954.0,3,2.0,498.0,3,3,3,0,0,0,0,0,0,0,1,NA,0,10,2009,WD,Normal
38,20,RL,68.0,7922,1,NA,4,Lvl,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731.0,1,0.0,326.0,1057.0,GasA,3,1,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,7,0,0,Detchd,1953.0,1,1.0,246.0,3,3,3,0,52,0,0,0,0,0,1,NA,0,1,2010,WD,Abnorml
39,90,RL,65.0,6040,1,NA,4,Lvl,Inside,3,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,0,FuseP,1152,0,0,1152,0.0,0.0,2,0,2,2,2,6,7,0,0,NA,0.0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,NA,0,6,2008,WD,AdjLand
40,20,RL,84.0,8658,1,NA,4,Lvl,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,1,3,643.0,1,0.0,445.0,1088.0,GasA,5,1,SBrkr,1324,0,0,1324,0.0,0.0,2,0,3,1,3,6,7,1,3,Attchd,1965.0,2,2.0,440.0,3,3,3,0,138,0,0,0,0,0,3,NA,0,12,2006,WD,Abnorml
41,20,RL,115.0,16905,1,NA,4,Lvl,Inside,3,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,4,4,967.0,1,0.0,383.0,1350.0,GasA,4,1,SBrkr,1328,0,0,1328,0.0,1.0,1,1,2,1,3,5,7,2,4,Attchd,1959.0,2,1.0,308.0,3,3,2,0,104,0,0,0,0,0,1,NA,0,7,2007,WD,Normal
42,85,RL,69.15971935617004,9180,1,NA,3,Lvl,CulDSac,3,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,3,5,747.0,2,93.0,0.0,840.0,GasA,4,1,SBrkr,884,0,0,884,1.0,0.0,1,0,2,1,4,5,7,0,0,Attchd,1983.0,2,2.0,504.0,3,4,3,240,0,0,0,0,0,0,4,NA,0,12,2007,WD,Normal
43,20,RL,69.15971935617004,9200,1,NA,3,Lvl,CulDSac,3,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,3,2,280.0,4,491.0,167.0,938.0,GasA,3,1,SBrkr,938,0,0,938,1.0,0.0,1,0,3,1,3,5,7,0,0,Detchd,1977.0,1,1.0,308.0,3,3,3,145,0,0,0,0,0,0,4,NA,0,7,2008,WD,Normal
44,20,RL,70.0,7945,1,NA,4,Lvl,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,5,179.0,4,506.0,465.0,1150.0,GasA,5,1,FuseA,1150,0,0,1150,1.0,0.0,1,0,3,1,3,6,7,0,0,Attchd,1959.0,2,1.0,300.0,3,3,3,0,0,0,0,0,0,0,1,NA,0,5,2006,WD,Normal
45,120,RL,61.0,7658,1,NA,4,Lvl,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5,3,1,6,456.0,1,0.0,1296.0,1752.0,GasA,5,1,SBrkr,1752,0,0,1752,1.0,0.0,2,0,2,1,5,6,7,1,4,Attchd,2005.0,2,2.0,576.0,3,3,3,196,82,0,0,0,0,0,1,NA,0,2,2010,WD,Normal
46,50,RL,48.0,12822,1,NA,3,Lvl,CulDSac,3,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,1,6,1351.0,1,0.0,83.0,1434.0,GasA,5,1,SBrkr,1518,631,0,2149,1.0,0.0,1,1,1,1,4,6,7,1,5,Attchd,2003.0,2,2.0,670.0,3,3,3,168,43,0,0,198,0,0,1,NA,0,8,2009,WD,Abnorml
47,20,FV,84.0,11096,1,NA,4,Lvl,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,24.0,1,0.0,1632.0,1656.0,GasA,5,1,SBrkr,1656,0,0,1656,0.0,0.0,2,0,3,1,4,7,7,0,0,Attchd,2006.0,2,3.0,826.0,3,3,3,0,146,0,0,0,0,0,1,NA,0,7,2007,WD,Normal
